component,explained_variance_ratio
PC1,0.5448183820266707
PC2,0.21617897027587457
PC3,0.08409575140505293
PC4,0.054508094761594385
PC5,0.04896484382111404
PC6,0.03149968966891657
PC7,0.019934268040776953
